iteration: 5593
total_loss: 1324.13378906
value_loss: 662.08007812
action_loss: 662.05371094
best_loss: 842.07751465
best_idx: 2592
improvement_counter: 3001
training_reward_count: 5594
training_rewards:
  iteration: 127 | eps_b: 0 | mean_reward: -8.77774620 | std_reward: 8.42340660 | agent_mean_rewards: [-8.547211, -9.749174, -8.218626, -8.951058, -8.422658]
  iteration: 128 | eps_b: 0 | mean_reward: -9.26032734 | std_reward: 8.90986443 | agent_mean_rewards: [-8.278086, -9.472936, -9.578514, -9.130857, -9.841243]
  iteration: 129 | eps_b: 0 | mean_reward: -9.50972652 | std_reward: 10.05055809 | agent_mean_rewards: [-10.079964,  -9.726809,  -9.74713 ,  -8.555252,  -9.439473]
  iteration: 130 | eps_b: 0 | mean_reward: -9.51216412 | std_reward: 9.42852211 | agent_mean_rewards: [ -8.986526,  -9.852095,  -8.954268,  -9.366503, -10.401428]
  iteration: 131 | eps_b: 0 | mean_reward: -9.98813534 | std_reward: 11.09411240 | agent_mean_rewards: [ -8.626975,  -9.788744, -10.752011, -10.8366  ,  -9.936348]
  iteration: 132 | eps_b: 0 | mean_reward: -9.81328773 | std_reward: 9.89303970 | agent_mean_rewards: [-11.117889,  -8.496085, -10.25369 ,  -9.752979,  -9.445792]
  iteration: 133 | eps_b: 0 | mean_reward: -9.38313293 | std_reward: 8.74254417 | agent_mean_rewards: [-9.813902, -9.772174, -8.722442, -9.413233, -9.193911]
  iteration: 134 | eps_b: 0 | mean_reward: -9.76027679 | std_reward: 10.47610950 | agent_mean_rewards: [ -9.880198, -10.281059,  -9.780009,  -7.741277, -11.118842]
  iteration: 135 | eps_b: 0 | mean_reward: -9.34066296 | std_reward: 10.28667641 | agent_mean_rewards: [ -9.288249,  -8.845713,  -9.848635, -10.180742,  -8.539972]
  iteration: 136 | eps_b: 0 | mean_reward: -8.75626564 | std_reward: 8.61994076 | agent_mean_rewards: [-8.071793, -8.718523, -8.579739, -9.291681, -9.119592]
  iteration: 137 | eps_b: 0 | mean_reward: -9.04927826 | std_reward: 9.25014019 | agent_mean_rewards: [ -9.952006,  -8.240711,  -8.571232, -10.106758,  -8.375684]
  iteration: 138 | eps_b: 0 | mean_reward: -9.34333801 | std_reward: 9.60663033 | agent_mean_rewards: [ -8.947507, -10.469587,  -9.507792,  -9.327204,  -8.464602]
  iteration: 139 | eps_b: 0 | mean_reward: -9.40997219 | std_reward: 9.28575706 | agent_mean_rewards: [-8.713668, -9.792191, -9.470785, -9.985499, -9.087713]
  iteration: 140 | eps_b: 0 | mean_reward: -9.05771351 | std_reward: 9.31553841 | agent_mean_rewards: [ -9.508569,  -8.647147,  -9.406022,  -7.321121, -10.405706]
  iteration: 141 | eps_b: 0 | mean_reward: -8.85918713 | std_reward: 9.18534279 | agent_mean_rewards: [ -7.985837,  -7.71423 , -10.354411,  -9.310351,  -8.931108]
  iteration: 142 | eps_b: 0 | mean_reward: -8.80792427 | std_reward: 9.36812401 | agent_mean_rewards: [-7.645505, -9.396924, -9.112265, -8.987108, -8.897818]
